%time soc i_tot i_mcu i_rf i_pv v_pv real_i_pv i_batt v_batt i_air_quality_sensor i_methane_sensor i_temperature_sensor i_mic_click_sensor
73 0.999857734 0.011 0.002 0.001 0 0 0 0.0259464645515 4.56900579262 0.002 0.002 0.002 0.002
74 0.999857731748 0.011 0.002 0.001 0 0 0 0.0259464646409 4.56900577688 0.002 0.002 0.002 0.002
75 0.999857729496 0.011 0.002 0.001 0 0 0 0.0259464647303 4.56900576113 0.002 0.002 0.002 0.002
76 0.999857727243 0.011 0.002 0.001 0 0 0 0.0259464648197 4.56900574539 0.002 0.002 0.002 0.002
77 0.999857724991 0.011 0.002 0.001 0 0 0 0.0259464649091 4.56900572964 0.002 0.002 0.002 0.002
78 0.999857722739 0.011 0.002 0.001 0 0 0 0.0259464649985 4.5690057139 0.002 0.002 0.002 0.002
79 0.999857720486 0.011 0.002 0.001 0 0 0 0.0259464650879 4.56900569816 0.002 0.002 0.002 0.002
80 0.999857718234 0.011 0.002 0.001 0 0 0 0.0259464651773 4.56900568241 0.002 0.002 0.002 0.002
81 0.999857715982 0.011 0.002 0.001 0 0 0 0.0259464652667 4.56900566667 0.002 0.002 0.002 0.002
82 0.99985771373 0.011 0.002 0.001 0 0 0 0.0259464653561 4.56900565093 0.002 0.002 0.002 0.002
83 0.999857711477 0.011 0.002 0.001 0 0 0 0.0259464654455 4.56900563518 0.002 0.002 0.002 0.002
84 0.999857709225 0.011 0.002 0.001 0 0 0 0.0259464655349 4.56900561944 0.002 0.002 0.002 0.002
85 0.999857706973 0.011 0.002 0.001 0 0 0 0.0259464656243 4.56900560369 0.002 0.002 0.002 0.002
86 0.99985770472 0.011 0.002 0.001 0 0 0 0.0259464657137 4.56900558795 0.002 0.002 0.002 0.002
87 0.999857702468 0.011 0.002 0.001 0 0 0 0.0259464658031 4.56900557221 0.002 0.002 0.002 0.002
88 0.999857700216 0.011 0.002 0.001 0 0 0 0.0259464658925 4.56900555646 0.002 0.002 0.002 0.002
89 0.999857697964 0.011 0.002 0.001 0 0 0 0.025946465982 4.56900554072 0.002 0.002 0.002 0.002
90 0.999857695711 0.011 0.002 0.001 0 0 0 0.0259464660714 4.56900552498 0.002 0.002 0.002 0.002
91 0.999857693459 0.011 0.002 0.001 0 0 0 0.0259464661608 4.56900550923 0.002 0.002 0.002 0.002
92 0.999857691207 0.011 0.002 0.001 0 0 0 0.0259464662502 4.56900549349 0.002 0.002 0.002 0.002
93 0.999857688954 0.011 0.002 0.001 0 0 0 0.0259464663396 4.56900547774 0.002 0.002 0.002 0.002
94 0.999857686702 0.011 0.002 0.001 0 0 0 0.025946466429 4.569005462 0.002 0.002 0.002 0.002
95 0.99985768445 0.011 0.002 0.001 0 0 0 0.0259464665184 4.56900544626 0.002 0.002 0.002 0.002
96 0.999857682197 0.011 0.002 0.001 0 0 0 0.0259464666078 4.56900543051 0.002 0.002 0.002 0.002
97 0.999857679945 0.011 0.002 0.001 0 0 0 0.0259464666972 4.56900541477 0.002 0.002 0.002 0.002
98 0.999857677693 0.011 0.002 0.001 0 0 0 0.0259464667866 4.56900539903 0.002 0.002 0.002 0.002
99 0.999857675441 0.011 0.002 0.001 0 0 0 0.025946466876 4.56900538328 0.002 0.002 0.002 0.002
