Image; brightness_0.5_boost_1.0; brightness_0.5_boost_1.1; brightness_0.5_boost_1.2; brightness_0.5_boost_1.3; brightness_0.5_boost_1.4; brightness_0.6_boost_1.0; brightness_0.6_boost_1.1; brightness_0.6_boost_1.2; brightness_0.6_boost_1.3; brightness_0.6_boost_1.4; brightness_0.7_boost_1.0; brightness_0.7_boost_1.1; brightness_0.7_boost_1.2; brightness_0.7_boost_1.3; brightness_0.7_boost_1.4; brightness_0.8_boost_1.0; brightness_0.8_boost_1.1; brightness_0.8_boost_1.2; brightness_0.8_boost_1.3; brightness_0.8_boost_1.4; Histogram Equalization; CLAHE
images\BSR\BSDS500\test\108069.jpg; 5.670486987297079; 5.104714466648011; 4.542870224969253; 3.988759708224363; 3.447969099067272; 4.536653401392504; 3.8737175510468647; 3.221782407592102; 2.607552362970736; 2.0058088126741653; 3.435332013903749; 2.699697180980948; 2.001540189125945; 1.3749728444993679; 0.9585476134112687; 2.3775748761309834; 1.6221974857917858; 1.0345952481757248; 0.9626199261835056; 1.3988163302073218; 3.1238295599750656; 2.193452045129118
images\BSR\BSDS500\test\109055.jpg; 5.093663344293087; 4.624874162676754; 4.146619644112416; 3.6870412918560387; 3.2308431009113856; 4.084959035284186; 3.5374367203500787; 2.9876281073827853; 2.4651714205964237; 1.967435280293843; 3.1071773046395657; 2.487443522297026; 1.9088643101961733; 1.3890538036212505; 1.0244725791844238; 2.160326710030252; 1.5335967825550978; 1.0354724240045732; 0.971925478819752; 1.3727888288364163; 5.122610934756903; 2.1101337576250194
images\BSR\BSDS500\test\112056.jpg; 7.11108035354431; 6.47469794759143; 5.83907627840343; 5.217752743717409; 4.605774778241905; 5.650077775924682; 4.911790615932415; 4.175450776673725; 3.4514071877703003; 2.7374912430479936; 4.230265341261999; 3.3755063528424127; 2.552270235525046; 1.7370235057129262; 1.077691660736273; 2.828868897143255; 1.8939833577852758; 1.0522161093736926; 0.9779605932361362; 1.7579465873003537; 4.344434871958079; 1.8252978843860437
images\BSR\BSDS500\test\112090.jpg; 8.201039107232985; 7.366234296856423; 6.538542319307707; 5.725835510530144; 4.921589850375333; 6.509182610395245; 5.535631138245925; 4.575993817910119; 3.641309579328707; 2.7273218374675596; 4.864685445871573; 3.766074032780791; 2.700328165842446; 1.6848898768551304; 0.9026259327755568; 3.262708936195663; 2.0773660073773255; 1.043960401976058; 0.9745022369811929; 1.855177467284367; 3.8988795634415334; 1.5585909051576343
images\BSR\BSDS500\test\117025.jpg; 6.9981893305281355; 6.358747722627545; 5.718663148007959; 5.094776732043408; 4.467294845779738; 5.568774273140563; 4.820284153925336; 4.049981693739389; 3.324149367213126; 2.606649289551151; 4.172312158409125; 3.3026708249540433; 2.46642192263394; 1.6731824278081582; 1.080015489379424; 2.7907516113102546; 1.8583251852281324; 1.0596057537304016; 1.006675399692849; 1.7282670534131621; 1.42191042830747; 0.7715233321829399
images\BSR\BSDS500\test\118015.jpg; 6.382866378340848; 6.065275925102636; 5.747079675466781; 5.434659546966674; 5.128621309839804; 5.116743904955761; 4.743232133367865; 4.375592610812267; 4.024131521946937; 3.682118901817464; 3.8486976412824947; 3.432324463606267; 3.0375928703052097; 2.672234285773244; 2.4218710763195888; 2.6350350141468675; 2.2045115422081056; 1.8582151037044743; 1.8187077389004973; 2.070602684825553; 2.3663370954636105; 0.8355370801132275
images\BSR\BSDS500\test\118031.jpg; 7.610072812856881; 7.088871975278371; 6.5646543916888; 6.057262412095817; 5.557811154714409; 6.04694544336672; 5.4376072593643965; 4.844102794230964; 4.265223023088166; 3.7009605998425634; 4.5253761067717315; 3.8410357817166036; 3.1859114930636956; 2.5821691312274684; 2.154563029018041; 3.0409476079538726; 2.3253820336326467; 1.7349497944523804; 1.6687171147387085; 2.101850129611386; 3.1318560031907796; 0.8855748935158237
images\BSR\BSDS500\test\118072.jpg; 5.548193954954794; 4.9899477231547; 4.432608388990724; 3.8816460581349235; 3.3519949908861055; 4.431370348242499; 3.776278400993613; 3.1333358306458843; 2.5170752527894265; 1.9066651726790256; 3.349246512122487; 2.6093885217257067; 1.9070808678358289; 1.2513583024281638; 0.7914873034775868; 2.285176842704116; 1.5178368563638016; 0.8836263875803474; 0.8399982618058218; 1.4124503641454966; 3.585418908138059; 0.7759646803839796
images\BSR\BSDS500\test\120003.jpg; 7.78491641231604; 7.112046952801064; 6.437789571857241; 5.776433393767402; 5.119492969673894; 6.186772283970515; 5.398461648059296; 4.609411993918218; 3.8405112228567218; 3.086655279380248; 4.622022359974479; 3.7232347156482284; 2.84220446488577; 1.9845292325788904; 1.2165103777999893; 3.0934796480220887; 2.1098901780503314; 1.1700463299817403; 1.0508161716110822; 1.6954427430516326; 2.4935016875075195; 0.45842390864362403
images\BSR\BSDS500\test\120093.jpg; 6.8128385100580084; 6.364165749483271; 5.909295242137752; 5.471333868954569; 5.047975276012773; 5.435636071023101; 4.9099351180105355; 4.399487668287701; 3.9068287656382474; 3.4208340393873056; 4.1051639093993995; 3.5157163427657143; 2.951614554787776; 2.436448029606775; 2.05463503907; 2.783555635483264; 2.1662010107756458; 1.6556245568177692; 1.5973462183712837; 1.883068140044072; 2.5416290584318917; 0.7983336029562655
